P_high_MPa,Q_sink_kW,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
23.25,120.0,1.675766755265475,52.35261158520393,267.5776952573186,79.57837186573084,49.2474773656329,4.547473508864641e-13,0.0,52.352611585203476,0.3790746869848456,167.73103256994833,71.6090109932928,51.97143955637185,0.40621591365939574,26.297255787107996,27.225760280526913,5.000000000008924,0.11371237458193979,True,
23.5,120.0,1.676420600668892,52.22105580506383,268.76950677427305,79.38081352537756,48.903540087810256,4.547473508864641e-13,0.0,52.22105580506337,0.37644561609389676,167.73103256994833,71.5810817119045,51.9979723736907,0.4017637056238491,26.059224832796275,27.159757720313735,4.999999473485275,0.11371237458193979,True,
23.75,120.0,1.6769433132372682,52.090342498821656,269.94905326934054,79.1844944164003,48.5666212929882,4.547473508864641e-13,0.0,52.0903424988212,0.3739002561259396,167.73103256994833,71.55876949015352,52.01916898435415,0.3974456306938156,25.828087743652812,27.094151917578642,4.999998051565456,0.11371237458193979,True,
24.0,120.0,1.6773427275838513,51.96052851434149,271.11668671591497,78.98950042129542,48.23660630913071,4.547473508864641e-13,0.0,51.960528514341036,0.37143426052042433,167.73103256994833,71.54172968147986,52.03535680259414,0.3932564481143016,25.60352521930221,27.028971906953927,5.000002559001416,0.11371237458193979,True,
24.25,120.0,1.6776264410874968,51.83164839587562,272.27271699470964,78.79588395561541,47.91335521346912,4.547473508864641e-13,0.0,51.83164839587516,0.36904354941112394,167.73103256994833,71.52963082902518,52.04685071242608,0.389190996427801,25.38522943182254,26.96423555973979,5.000000103142668,0.11371237458193979,True,
24.5,120.0,1.6778013811769135,51.70374418038273,273.4174597134213,78.6037087172607,47.59673677893886,4.547473508864641e-13,0.0,51.70374418038227,0.366724336871966,167.73103256994833,71.52217261606054,52.0539360147425,0.38524448339927564,25.17291828209915,26.899964536877974,5.000000000000284,0.11371237458193979,True,
24.75,120.0,1.677874191243483,51.57684316914339,274.5512010220506,78.41301628877022,47.28660512604654,4.547473508864641e-13,0.0,51.57684316914293,0.3644730711305822,167.73103256994833,71.51906896611078,52.05688448219479,0.38141224456177414,24.966321870540508,26.836173119626835,5.000000000000512,0.11371237458193979,True,
25.0,120.0,1.6778511031691576,51.45096823398785,275.67421386835247,78.2238416126321,46.98281177018487,4.547473508864641e-13,0.0,51.450968233987396,0.3622864318776369,167.73103256994833,71.52005310443917,52.05594955078279,0.3776898333506089,24.765186515245137,26.77287337864425,5.000000000000512,0.11371237458193979,True,
25.25,120.0,1.6777379796193552,51.326137227790014,276.78675725274877,78.03621210054479,46.68520555713809,4.547473508864641e-13,0.0,51.32613722778956,0.360161310660716,167.73103256994833,71.5248754321134,52.05136833949229,0.374073000405725,24.569273043902676,26.710074872754774,5.000000000000512,0.11371237458193979,True,
25.5,120.0,1.6775403348201812,51.20236364449613,277.8890774064174,77.85014862059631,46.39363382882652,4.547473508864641e-13,0.0,51.20236364449568,0.35809479493459334,167.73103256994833,71.53330236489548,52.0433627533493,0.37055768608214495,24.378355860661756,26.647784976100183,5.000000000000625,0.11371237458193979,True,
